% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1318
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): AX75-C01
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 08:08:09
% Protocol Start Time (Log Generator time): 2022-01-12 08:08:02.184
% Protocol End Time (Log Generator time): 2022-01-12 08:12:59.433
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 08:10:23.057	5.81157e+00	5.83333e+00	2.80554e+00	2.44481e+00	2.42963e+00	1.59517e+00	5.80139e+00	5.81273e+00	2.78996e+00	2.43138e+00	2.46769e+00	1.60814e+00	5.63331e+00	5.73004e+00	2.80778e+00	2.39428e+00	2.37950e+00	1.57622e+00	5.62115e+00	5.91168e+00	2.88585e+00	2.54530e+00	2.45095e+00	1.61235e+00	5.68880e+00	5.83977e+00	2.85268e+00	2.48878e+00	2.42151e+00	1.54758e+00
2	2022-01-12 08:10:33.138	5.77434e+00	5.83297e+00	2.80475e+00	2.44208e+00	2.42899e+00	1.59487e+00	5.78249e+00	5.82079e+00	2.78628e+00	2.43645e+00	2.46359e+00	1.60702e+00	5.60841e+00	5.72866e+00	2.80682e+00	2.39630e+00	2.38240e+00	1.57519e+00	5.60168e+00	5.90989e+00	2.88515e+00	2.54626e+00	2.45101e+00	1.61147e+00	5.65775e+00	5.84416e+00	2.84987e+00	2.48866e+00	2.42079e+00	1.54744e+00
3	2022-01-12 08:10:43.257	5.75842e+00	5.83231e+00	2.79896e+00	2.44649e+00	2.42981e+00	1.59356e+00	5.76898e+00	5.81884e+00	2.78488e+00	2.42563e+00	2.46727e+00	1.60657e+00	5.58685e+00	5.72861e+00	2.80603e+00	2.39694e+00	2.37387e+00	1.57495e+00	5.57605e+00	5.90941e+00	2.88394e+00	2.54644e+00	2.45057e+00	1.61185e+00	5.65833e+00	5.83644e+00	2.84836e+00	2.48924e+00	2.41970e+00	1.54635e+00
4	2022-01-12 08:10:53.437	5.79713e+00	5.84281e+00	2.79627e+00	2.44510e+00	2.43525e+00	1.59353e+00	5.75359e+00	5.78860e+00	2.78773e+00	2.42306e+00	2.46645e+00	1.60700e+00	5.56312e+00	5.72821e+00	2.80474e+00	2.40475e+00	2.37081e+00	1.57412e+00	5.56165e+00	5.90885e+00	2.88348e+00	2.54750e+00	2.45219e+00	1.61081e+00	5.64773e+00	5.83570e+00	2.84488e+00	2.48880e+00	2.42031e+00	1.54410e+00
5	2022-01-12 08:11:03.637	5.72817e+00	5.85547e+00	2.79728e+00	2.44544e+00	2.42901e+00	1.59293e+00	5.74212e+00	5.81862e+00	2.79102e+00	2.42965e+00	2.46639e+00	1.60524e+00	5.55755e+00	5.72773e+00	2.80472e+00	2.41026e+00	2.37620e+00	1.57419e+00	5.54879e+00	5.90858e+00	2.88244e+00	2.54704e+00	2.45320e+00	1.61073e+00	5.62188e+00	5.83513e+00	2.84646e+00	2.48926e+00	2.41920e+00	1.54256e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
