% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1089
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): TXR-C04
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 11:39:46
% Protocol Start Time (Log Generator time): 2022-01-12 11:39:40.374
% Protocol End Time (Log Generator time): 2022-01-12 11:44:51.198
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 11:42:01.622	7.76700e+00	7.14251e+00	6.02510e+01	8.15196e+00	1.98439e+00	3.33038e+00	7.76217e+00	7.52522e+00	6.10881e+01	8.43813e+00	2.05564e+00	3.37320e+00	8.02474e+00	7.30531e+00	6.01779e+01	8.22846e+00	2.04495e+00	3.41756e+00	7.80677e+00	7.44206e+00	6.00030e+01	8.33795e+00	2.06237e+00	3.51124e+00	8.39029e+00	7.34537e+00	5.87343e+01	8.12457e+00	2.08825e+00	3.38216e+00
2	2022-01-12 11:42:11.421	7.73525e+00	7.14655e+00	6.02076e+01	8.15093e+00	1.97337e+00	3.32845e+00	7.75053e+00	7.53282e+00	6.09790e+01	8.43992e+00	2.05428e+00	3.38092e+00	8.02508e+00	7.30318e+00	6.02201e+01	8.23729e+00	2.04443e+00	3.41641e+00	7.80411e+00	7.45037e+00	6.00605e+01	8.34432e+00	2.06070e+00	3.50939e+00	8.38610e+00	7.34246e+00	5.87603e+01	8.13078e+00	2.08822e+00	3.37960e+00
3	2022-01-12 11:42:21.263	7.72527e+00	7.14168e+00	6.01927e+01	8.14474e+00	1.97665e+00	3.32660e+00	7.74134e+00	7.53379e+00	6.09624e+01	8.44353e+00	2.05294e+00	3.37853e+00	8.01943e+00	7.30109e+00	6.02789e+01	8.24620e+00	2.04450e+00	3.41520e+00	7.79916e+00	7.44817e+00	6.01017e+01	8.34991e+00	2.06042e+00	3.50762e+00	8.38063e+00	7.34027e+00	5.87972e+01	8.13592e+00	2.08723e+00	3.37771e+00
4	2022-01-12 11:42:31.162	7.72640e+00	7.14291e+00	6.01796e+01	8.15359e+00	1.99143e+00	3.32425e+00	7.73297e+00	7.53106e+00	6.09600e+01	8.44682e+00	2.05317e+00	3.36806e+00	8.01222e+00	7.29985e+00	6.03222e+01	8.25407e+00	2.04489e+00	3.41396e+00	7.79387e+00	7.44139e+00	6.01283e+01	8.35475e+00	2.05968e+00	3.50562e+00	8.37509e+00	7.33864e+00	5.88396e+01	8.14098e+00	2.08743e+00	3.37537e+00
5	2022-01-12 11:42:41.102	7.71191e+00	7.14121e+00	6.01798e+01	8.15964e+00	1.97209e+00	3.32253e+00	7.72557e+00	7.53226e+00	6.09562e+01	8.45062e+00	2.05450e+00	3.37416e+00	8.00988e+00	7.29925e+00	6.03517e+01	8.25968e+00	2.04479e+00	3.41236e+00	7.78734e+00	7.44691e+00	6.01423e+01	8.35806e+00	2.06004e+00	3.50429e+00	8.36895e+00	7.33829e+00	5.88384e+01	8.14387e+00	2.08798e+00	3.37350e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
