% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1316
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): XXXX-C00
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 12:55:55
% Protocol Start Time (Log Generator time): 2022-01-12 12:55:48.933
% Protocol End Time (Log Generator time): 2022-01-12 13:01:01.915
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 12:58:09.740	5.70013e+00	2.60183e+00	2.91483e+00	2.82534e+00	1.49429e+00	1.50351e+00	6.17745e+00	2.72950e+00	3.04781e+00	3.04682e+00	1.66655e+00	1.59413e+00	6.02414e+00	2.70399e+00	2.98275e+00	2.51766e+00	1.27783e+00	1.38661e+00	6.25773e+00	2.79608e+00	2.97234e+00	2.91618e+00	1.54870e+00	1.55140e+00	5.90583e+00	2.77280e+00	3.01922e+00	2.91135e+00	1.52677e+00	1.54159e+00
2	2022-01-12 12:58:19.820	5.71113e+00	2.60154e+00	2.91423e+00	2.82631e+00	1.49295e+00	1.50249e+00	6.16756e+00	2.72861e+00	3.04554e+00	3.04635e+00	1.66661e+00	1.59232e+00	6.00690e+00	2.70348e+00	2.98034e+00	2.51827e+00	1.27872e+00	1.38637e+00	6.24749e+00	2.79606e+00	2.97133e+00	2.90944e+00	1.54754e+00	1.55131e+00	5.90208e+00	2.77160e+00	3.01831e+00	2.90711e+00	1.52143e+00	1.53965e+00
3	2022-01-12 12:58:29.940	5.69928e+00	2.60273e+00	2.91353e+00	2.82146e+00	1.49398e+00	1.50178e+00	6.16225e+00	2.72957e+00	3.04515e+00	3.04462e+00	1.66287e+00	1.59160e+00	5.99286e+00	2.70276e+00	2.98180e+00	2.51901e+00	1.27813e+00	1.38502e+00	6.24604e+00	2.79606e+00	2.97134e+00	2.91617e+00	1.54714e+00	1.54958e+00	5.89722e+00	2.76958e+00	3.01750e+00	2.90344e+00	1.51865e+00	1.53686e+00
4	2022-01-12 12:58:40.119	5.71002e+00	2.60297e+00	2.91377e+00	2.82744e+00	1.49401e+00	1.50134e+00	6.15601e+00	2.72884e+00	3.04546e+00	3.04435e+00	1.66425e+00	1.59007e+00	5.98165e+00	2.70225e+00	2.98028e+00	2.51946e+00	1.27800e+00	1.38408e+00	6.24541e+00	2.79543e+00	2.97127e+00	2.91211e+00	1.54741e+00	1.54922e+00	5.89350e+00	2.76816e+00	3.01664e+00	2.89985e+00	1.51432e+00	1.53410e+00
5	2022-01-12 12:58:50.340	5.69887e+00	2.60348e+00	2.91493e+00	2.82784e+00	1.49678e+00	1.50145e+00	6.15153e+00	2.72961e+00	3.04530e+00	3.04645e+00	1.66452e+00	1.58908e+00	5.97017e+00	2.70225e+00	2.98152e+00	2.51968e+00	1.27900e+00	1.38425e+00	6.23787e+00	2.79608e+00	2.97118e+00	2.91812e+00	1.54770e+00	1.54822e+00	5.88658e+00	2.76585e+00	3.01579e+00	2.89726e+00	1.51273e+00	1.53238e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
