% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1089
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): CY5-C01
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 09:20:59
% Protocol Start Time (Log Generator time): 2022-01-12 09:20:53.448
% Protocol End Time (Log Generator time): 2022-01-12 09:26:23.118
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 09:23:14.229	7.59510e+00	7.10402e+00	5.09872e+00	4.30290e+00	1.99421e+00	3.32640e+00	7.76834e+00	7.44428e+00	5.12503e+00	4.56437e+00	2.05768e+00	3.37488e+00	7.99407e+00	7.19477e+00	5.12408e+00	4.44984e+00	2.04811e+00	3.40476e+00	7.74248e+00	7.37525e+00	5.15724e+00	4.55396e+00	2.07533e+00	3.51305e+00	8.44007e+00	7.22827e+00	5.10805e+00	4.38472e+00	2.09711e+00	3.37569e+00
2	2022-01-12 09:23:24.329	7.57416e+00	7.10637e+00	5.09617e+00	4.30190e+00	1.98599e+00	3.32385e+00	7.75553e+00	7.45255e+00	5.11807e+00	4.57351e+00	2.05917e+00	3.37549e+00	7.99924e+00	7.19142e+00	5.12185e+00	4.45518e+00	2.04670e+00	3.40284e+00	7.73756e+00	7.37467e+00	5.15459e+00	4.55722e+00	2.07393e+00	3.51140e+00	8.43546e+00	7.22362e+00	5.10387e+00	4.38828e+00	2.09615e+00	3.37311e+00
3	2022-01-12 09:23:34.469	7.57124e+00	7.10657e+00	5.09443e+00	4.31406e+00	1.98016e+00	3.32152e+00	7.74584e+00	7.44715e+00	5.11628e+00	4.58001e+00	2.06113e+00	3.37045e+00	7.98663e+00	7.19001e+00	5.11830e+00	4.45861e+00	2.04652e+00	3.40032e+00	7.72839e+00	7.37258e+00	5.15299e+00	4.55877e+00	2.07356e+00	3.50867e+00	8.42835e+00	7.22230e+00	5.10182e+00	4.39005e+00	2.09471e+00	3.37025e+00
4	2022-01-12 09:23:44.650	7.56627e+00	7.10814e+00	5.09277e+00	4.31563e+00	1.99195e+00	3.31968e+00	7.73746e+00	7.44726e+00	5.11601e+00	4.58392e+00	2.06198e+00	3.37330e+00	7.97287e+00	7.18877e+00	5.11564e+00	4.46003e+00	2.04614e+00	3.39844e+00	7.72179e+00	7.37039e+00	5.15112e+00	4.56046e+00	2.07336e+00	3.50740e+00	8.42147e+00	7.22086e+00	5.09999e+00	4.39152e+00	2.09383e+00	3.36795e+00
5	2022-01-12 09:23:54.850	7.54928e+00	7.09993e+00	5.09262e+00	4.31449e+00	1.98265e+00	3.31750e+00	7.72827e+00	7.45115e+00	5.11507e+00	4.58682e+00	2.06194e+00	3.37154e+00	7.97997e+00	7.18801e+00	5.11419e+00	4.46282e+00	2.04585e+00	3.39644e+00	7.71351e+00	7.37212e+00	5.14969e+00	4.56219e+00	2.07284e+00	3.50569e+00	8.41333e+00	7.22008e+00	5.09829e+00	4.39256e+00	2.09356e+00	3.36675e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
