% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1089
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): AX75-C02
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 13:08:14
% Protocol Start Time (Log Generator time): 2022-01-12 13:08:07.958
% Protocol End Time (Log Generator time): 2022-01-12 13:13:37.379
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 13:10:28.896	7.50187e+00	7.10790e+00	5.09528e+00	3.68947e+00	1.98577e+00	4.43029e+00	7.51504e+00	7.49753e+00	5.18591e+00	3.87637e+00	2.04274e+00	4.39489e+00	7.86803e+00	7.22745e+00	5.15426e+00	3.78310e+00	2.04551e+00	4.48593e+00	7.62978e+00	7.38373e+00	5.16431e+00	3.89096e+00	2.07009e+00	4.63603e+00	8.20978e+00	7.26054e+00	5.14208e+00	3.79308e+00	2.08959e+00	4.41745e+00
2	2022-01-12 13:10:38.997	7.49833e+00	7.11637e+00	5.09304e+00	3.68822e+00	1.98845e+00	4.42915e+00	7.50648e+00	7.48994e+00	5.17991e+00	3.87781e+00	2.04239e+00	4.39708e+00	7.85936e+00	7.22816e+00	5.15202e+00	3.78343e+00	2.04440e+00	4.48612e+00	7.61649e+00	7.38487e+00	5.16383e+00	3.89168e+00	2.06859e+00	4.63554e+00	8.19695e+00	7.25878e+00	5.14061e+00	3.79378e+00	2.08801e+00	4.41648e+00
3	2022-01-12 13:10:49.116	7.48865e+00	7.10734e+00	5.09249e+00	3.69118e+00	1.98135e+00	4.42659e+00	7.49752e+00	7.48807e+00	5.17763e+00	3.87898e+00	2.04286e+00	4.39870e+00	7.84665e+00	7.22760e+00	5.15121e+00	3.78478e+00	2.04366e+00	4.48371e+00	7.60508e+00	7.38540e+00	5.16319e+00	3.89239e+00	2.06845e+00	4.63379e+00	8.18489e+00	7.25785e+00	5.13999e+00	3.79373e+00	2.08809e+00	4.41485e+00
4	2022-01-12 13:10:59.275	7.46336e+00	7.11027e+00	5.09157e+00	3.68980e+00	1.98108e+00	4.42382e+00	7.48893e+00	7.50033e+00	5.17810e+00	3.88031e+00	2.04192e+00	4.39632e+00	7.83274e+00	7.22705e+00	5.15243e+00	3.78543e+00	2.04345e+00	4.48125e+00	7.59317e+00	7.38557e+00	5.16214e+00	3.89331e+00	2.06828e+00	4.63209e+00	8.17384e+00	7.25863e+00	5.13955e+00	3.79431e+00	2.08860e+00	4.41292e+00
5	2022-01-12 13:11:09.496	7.45761e+00	7.10629e+00	5.09111e+00	3.68847e+00	1.97927e+00	4.42071e+00	7.48155e+00	7.49654e+00	5.17682e+00	3.88147e+00	2.03659e+00	4.39418e+00	7.82228e+00	7.22793e+00	5.15178e+00	3.78508e+00	2.04286e+00	4.47959e+00	7.58430e+00	7.38564e+00	5.16172e+00	3.89325e+00	2.06742e+00	4.62937e+00	8.16530e+00	7.25772e+00	5.13937e+00	3.79449e+00	2.08585e+00	4.41037e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
