% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER933
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): CY5-C01
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 08:50:30
% Protocol Start Time (Log Generator time): 2022-01-12 08:50:24.500
% Protocol End Time (Log Generator time): 2022-01-12 08:55:35.519
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 08:52:44.967	6.42409e+00	5.20149e+00	3.84225e+00	5.28843e+00	1.23686e+00	2.63933e+00	6.81939e+00	5.37122e+00	3.95880e+00	5.53486e+00	1.31235e+00	2.76922e+00	6.17166e+00	4.88100e+00	3.60742e+00	4.97961e+00	1.20659e+00	2.60686e+00	6.37469e+00	4.83315e+00	3.58888e+00	4.85083e+00	1.14934e+00	2.45184e+00	6.22280e+00	5.00023e+00	3.75974e+00	5.12632e+00	1.21681e+00	2.60262e+00
2	2022-01-12 08:52:55.047	6.41482e+00	5.20026e+00	3.84064e+00	5.29009e+00	1.23736e+00	2.63792e+00	6.80515e+00	5.36771e+00	3.95282e+00	5.53399e+00	1.31186e+00	2.76988e+00	6.16044e+00	4.87635e+00	3.60244e+00	4.97667e+00	1.20645e+00	2.60602e+00	6.36668e+00	4.82581e+00	3.58297e+00	4.84955e+00	1.14937e+00	2.45147e+00	6.21747e+00	4.99713e+00	3.75417e+00	5.12539e+00	1.21641e+00	2.60248e+00
3	2022-01-12 08:53:05.167	6.39880e+00	5.19850e+00	3.83881e+00	5.29251e+00	1.23673e+00	2.63780e+00	6.79413e+00	5.36638e+00	3.94961e+00	5.53444e+00	1.31246e+00	2.76850e+00	6.15694e+00	4.87372e+00	3.59862e+00	4.97512e+00	1.20672e+00	2.60648e+00	6.35747e+00	4.82605e+00	3.57950e+00	4.84861e+00	1.14924e+00	2.45084e+00	6.20700e+00	4.99362e+00	3.75223e+00	5.12488e+00	1.21613e+00	2.60115e+00
4	2022-01-12 08:53:15.346	6.38526e+00	5.19658e+00	3.83777e+00	5.28870e+00	1.23546e+00	2.63751e+00	6.78376e+00	5.36681e+00	3.94717e+00	5.53482e+00	1.31251e+00	2.76252e+00	6.15587e+00	4.87242e+00	3.59631e+00	4.97412e+00	1.20651e+00	2.60652e+00	6.35097e+00	4.83177e+00	3.57710e+00	4.84894e+00	1.14903e+00	2.45024e+00	6.19809e+00	4.99124e+00	3.75318e+00	5.12452e+00	1.21590e+00	2.60059e+00
5	2022-01-12 08:53:25.548	6.37565e+00	5.19759e+00	3.83695e+00	5.29419e+00	1.23551e+00	2.63675e+00	6.77369e+00	5.36609e+00	3.94579e+00	5.53482e+00	1.31232e+00	2.76314e+00	6.14741e+00	4.87055e+00	3.59369e+00	4.97417e+00	1.20673e+00	2.60554e+00	6.34330e+00	4.82803e+00	3.57509e+00	4.84855e+00	1.14952e+00	2.45009e+00	6.19184e+00	4.99053e+00	3.74990e+00	5.12452e+00	1.21617e+00	2.59994e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
