% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1088
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): AX70-C03
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 13:41:07
% Protocol Start Time (Log Generator time): 2022-01-12 13:41:02.865
% Protocol End Time (Log Generator time): 2022-01-12 13:46:01.769
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 13:43:22.460	7.20151e+00	5.00290e+00	4.84543e+00	3.79577e+00	2.74219e+01	3.00586e+00	7.46147e+00	5.70034e+00	5.09335e+00	4.91159e+00	2.48131e+01	3.40244e+00	7.19888e+00	4.91717e+00	4.82918e+00	3.74634e+00	3.15941e+01	3.00076e+00	7.48406e+00	4.92128e+00	4.84420e+00	3.66514e+00	3.13290e+01	2.92163e+00	6.96050e+00	4.96055e+00	4.82664e+00	3.67766e+00	3.17429e+01	2.94821e+00
2	2022-01-12 13:43:32.120	7.20407e+00	4.99005e+00	4.84219e+00	3.78706e+00	2.75215e+01	3.00063e+00	7.45521e+00	5.70008e+00	5.08858e+00	4.91600e+00	2.49093e+01	3.40086e+00	7.19379e+00	4.91619e+00	4.82876e+00	3.74934e+00	3.16982e+01	2.99901e+00	7.48231e+00	4.92412e+00	4.84334e+00	3.67213e+00	3.14490e+01	2.92522e+00	6.95673e+00	4.96038e+00	4.82482e+00	3.67885e+00	3.17916e+01	2.94728e+00
3	2022-01-12 13:43:41.821	7.18841e+00	4.99173e+00	4.83954e+00	3.78007e+00	2.75343e+01	2.99650e+00	7.44959e+00	5.69974e+00	5.08877e+00	4.92083e+00	2.49660e+01	3.40156e+00	7.19587e+00	4.91652e+00	4.82813e+00	3.75034e+00	3.17479e+01	2.99762e+00	7.48437e+00	4.92804e+00	4.84200e+00	3.67643e+00	3.14984e+01	2.92769e+00	6.95343e+00	4.96098e+00	4.82397e+00	3.68009e+00	3.18125e+01	2.94574e+00
4	2022-01-12 13:43:51.561	7.21039e+00	4.98858e+00	4.83715e+00	3.77404e+00	2.75440e+01	2.99253e+00	7.44389e+00	5.70046e+00	5.08882e+00	4.92413e+00	2.49798e+01	3.40127e+00	7.19611e+00	4.91678e+00	4.82738e+00	3.75213e+00	3.17635e+01	2.99634e+00	7.49323e+00	4.93013e+00	4.84184e+00	3.67879e+00	3.15134e+01	2.92805e+00	6.94959e+00	4.96096e+00	4.82337e+00	3.68078e+00	3.18228e+01	2.94416e+00
5	2022-01-12 13:44:01.340	7.17575e+00	4.98414e+00	4.83583e+00	3.77139e+00	2.76223e+01	2.98926e+00	7.43907e+00	5.69795e+00	5.08870e+00	4.92637e+00	2.50315e+01	3.39736e+00	7.18694e+00	4.91745e+00	4.82726e+00	3.75326e+00	3.17690e+01	2.99584e+00	7.47852e+00	4.92898e+00	4.84101e+00	3.68061e+00	3.15355e+01	2.92792e+00	6.94666e+00	4.96086e+00	4.82139e+00	3.68119e+00	3.18144e+01	2.94327e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
