% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER909
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): HEX-C04
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 09:18:56
% Protocol Start Time (Log Generator time): 2022-01-12 09:18:49.788
% Protocol End Time (Log Generator time): 2022-01-12 09:24:07.370
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 09:21:13.283	7.24080e+00	1.00417e+02	4.46649e+00	3.92612e+00	3.01975e+00	1.56848e+00	7.78094e+00	9.68566e+01	4.44927e+00	3.94097e+00	3.05482e+00	1.56393e+00	7.17967e+00	1.03302e+02	4.59889e+00	4.06461e+00	3.19621e+00	1.60819e+00	7.35604e+00	1.07664e+02	4.60451e+00	4.00801e+00	3.26034e+00	1.61960e+00	7.15014e+00	9.74315e+01	4.29838e+00	3.82720e+00	2.82106e+00	1.42586e+00
2	2022-01-12 09:21:23.104	7.21879e+00	1.00388e+02	4.46456e+00	3.92472e+00	3.02235e+00	1.56605e+00	7.75645e+00	9.68312e+01	4.44391e+00	3.93746e+00	3.05302e+00	1.56015e+00	7.14001e+00	1.03229e+02	4.59661e+00	4.06023e+00	3.19548e+00	1.60752e+00	7.33854e+00	1.07383e+02	4.60160e+00	4.00863e+00	3.25995e+00	1.61929e+00	7.14027e+00	9.75534e+01	4.30155e+00	3.82557e+00	2.82075e+00	1.42551e+00
3	2022-01-12 09:21:32.943	7.20351e+00	1.00364e+02	4.46325e+00	3.92518e+00	3.02327e+00	1.56547e+00	7.73931e+00	9.68746e+01	4.44233e+00	3.93661e+00	3.05269e+00	1.55925e+00	7.11770e+00	1.03236e+02	4.59491e+00	4.05944e+00	3.19574e+00	1.60645e+00	7.32300e+00	1.07313e+02	4.60081e+00	4.00794e+00	3.26060e+00	1.61860e+00	7.12721e+00	9.76148e+01	4.30092e+00	3.82460e+00	2.82053e+00	1.42487e+00
4	2022-01-12 09:21:42.843	7.18769e+00	1.00360e+02	4.46211e+00	3.92630e+00	3.03166e+00	1.56448e+00	7.72154e+00	9.68522e+01	4.44128e+00	3.93700e+00	3.05308e+00	1.55765e+00	7.08602e+00	1.03243e+02	4.59431e+00	4.05902e+00	3.19524e+00	1.60586e+00	7.30901e+00	1.06994e+02	4.59968e+00	4.00831e+00	3.26008e+00	1.61780e+00	7.11318e+00	9.76243e+01	4.30576e+00	3.82401e+00	2.82044e+00	1.42419e+00
5	2022-01-12 09:21:52.783	7.17261e+00	1.00352e+02	4.46180e+00	3.92641e+00	3.01465e+00	1.56444e+00	7.71053e+00	9.68489e+01	4.44037e+00	3.93645e+00	3.05365e+00	1.56118e+00	7.11474e+00	1.03300e+02	4.59336e+00	4.05813e+00	3.19641e+00	1.60535e+00	7.29624e+00	1.07702e+02	4.59890e+00	4.00852e+00	3.25973e+00	1.61747e+00	7.10189e+00	9.76261e+01	4.29223e+00	3.82283e+00	2.82017e+00	1.42362e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
