% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1313
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): CY5-C03
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 09:08:41
% Protocol Start Time (Log Generator time): 2022-01-12 09:08:34.252
% Protocol End Time (Log Generator time): 2022-01-12 09:15:33.319
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 09:10:55.972	5.83829e+00	6.65743e+00	3.09658e+00	1.31988e+01	1.93133e+00	2.00256e+00	5.90946e+00	6.70424e+00	3.07777e+00	1.32008e+01	1.91304e+00	2.01399e+00	6.15170e+00	6.69435e+00	3.11161e+00	1.35490e+01	2.01786e+00	2.07746e+00	6.36594e+00	6.89644e+00	3.15528e+00	1.36809e+01	2.02448e+00	2.05206e+00	5.87360e+00	6.63632e+00	3.11804e+00	1.27454e+01	1.93717e+00	2.03495e+00
2	2022-01-12 09:11:05.952	5.84630e+00	6.65264e+00	3.09316e+00	1.32753e+01	1.92355e+00	2.00141e+00	5.90305e+00	6.69419e+00	3.07285e+00	1.32558e+01	1.91863e+00	2.01219e+00	6.15709e+00	6.69103e+00	3.10793e+00	1.36076e+01	2.01843e+00	2.07595e+00	6.34831e+00	6.90470e+00	3.15382e+00	1.37108e+01	2.02378e+00	2.05161e+00	5.86401e+00	6.62823e+00	3.11786e+00	1.27741e+01	1.93710e+00	2.03348e+00
3	2022-01-12 09:11:15.972	5.82608e+00	6.69339e+00	3.09124e+00	1.32683e+01	1.92834e+00	2.00129e+00	5.89313e+00	6.65990e+00	3.07869e+00	1.32770e+01	1.91481e+00	2.01270e+00	6.14065e+00	6.69004e+00	3.10631e+00	1.36545e+01	2.01878e+00	2.07591e+00	6.34761e+00	6.89716e+00	3.15242e+00	1.37233e+01	2.02272e+00	2.05056e+00	5.85688e+00	6.63190e+00	3.11612e+00	1.27864e+01	1.93707e+00	2.03253e+00
4	2022-01-12 09:11:26.052	5.81848e+00	6.70288e+00	3.09024e+00	1.33033e+01	1.92001e+00	1.99998e+00	5.88417e+00	6.66340e+00	3.07428e+00	1.32956e+01	1.91889e+00	2.01045e+00	6.14570e+00	6.68757e+00	3.10512e+00	1.36707e+01	2.01927e+00	2.07498e+00	6.33108e+00	6.90779e+00	3.15142e+00	1.37311e+01	2.02269e+00	2.04995e+00	5.84657e+00	6.62467e+00	3.11623e+00	1.27886e+01	1.93693e+00	2.03210e+00
5	2022-01-12 09:11:36.173	5.85990e+00	6.65421e+00	3.08896e+00	1.33336e+01	1.92103e+00	1.99951e+00	5.87523e+00	6.67715e+00	3.06889e+00	1.33057e+01	1.92222e+00	2.01032e+00	6.13720e+00	6.68742e+00	3.09933e+00	1.36584e+01	2.01961e+00	2.07401e+00	6.31685e+00	6.90480e+00	3.15066e+00	1.37289e+01	2.02412e+00	2.04888e+00	5.83750e+00	6.61946e+00	3.11540e+00	1.27953e+01	1.93671e+00	2.03129e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
