% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1088
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): FAM-C02
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 08:43:33
% Protocol Start Time (Log Generator time): 2022-01-12 08:43:28.482
% Protocol End Time (Log Generator time): 2022-01-12 08:48:42.065
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 08:45:47.105	2.83926e+01	5.85344e+00	4.69866e+00	3.33799e+00	2.15970e+00	2.78093e+00	2.75094e+01	6.19902e+00	4.85637e+00	3.62659e+00	2.24425e+00	2.82218e+00	2.92694e+01	5.99393e+00	4.82111e+00	3.44144e+00	2.16718e+00	2.81862e+00	2.92943e+01	5.92412e+00	4.78692e+00	3.31363e+00	2.13954e+00	2.73750e+00	2.75853e+01	6.00851e+00	4.79943e+00	3.44676e+00	2.20194e+00	2.81255e+00
2	2022-01-12 08:45:56.945	2.83695e+01	5.85007e+00	4.69669e+00	3.33968e+00	2.15916e+00	2.77809e+00	2.75401e+01	6.19785e+00	4.84982e+00	3.62842e+00	2.24387e+00	2.81973e+00	2.93893e+01	5.99435e+00	4.81736e+00	3.44316e+00	2.16666e+00	2.81813e+00	2.93383e+01	5.92533e+00	4.78333e+00	3.31507e+00	2.13813e+00	2.73675e+00	2.76861e+01	6.00854e+00	4.79763e+00	3.44493e+00	2.20016e+00	2.81002e+00
3	2022-01-12 08:46:06.844	2.83649e+01	5.85528e+00	4.69508e+00	3.34061e+00	2.15808e+00	2.77611e+00	2.75329e+01	6.19756e+00	4.84933e+00	3.63042e+00	2.24369e+00	2.81810e+00	2.94105e+01	5.99405e+00	4.81506e+00	3.44534e+00	2.16600e+00	2.81783e+00	2.93784e+01	5.92491e+00	4.78010e+00	3.31502e+00	2.13769e+00	2.73584e+00	2.77393e+01	6.00954e+00	4.79614e+00	3.44395e+00	2.19888e+00	2.80681e+00
4	2022-01-12 08:46:16.765	2.83500e+01	5.85373e+00	4.69369e+00	3.34132e+00	2.15967e+00	2.77471e+00	2.75301e+01	6.19653e+00	4.84808e+00	3.63185e+00	2.24343e+00	2.81585e+00	2.95220e+01	5.99342e+00	4.81258e+00	3.44654e+00	2.16580e+00	2.81675e+00	2.93983e+01	5.93123e+00	4.77808e+00	3.31602e+00	2.13700e+00	2.73494e+00	2.77292e+01	6.00905e+00	4.79484e+00	3.44292e+00	2.19852e+00	2.80382e+00
5	2022-01-12 08:46:26.785	2.83464e+01	5.85388e+00	4.69211e+00	3.34178e+00	2.15895e+00	2.77256e+00	2.75198e+01	6.19635e+00	4.84683e+00	3.63189e+00	2.24264e+00	2.81422e+00	2.95310e+01	5.99325e+00	4.81129e+00	3.44799e+00	2.16568e+00	2.81612e+00	2.94031e+01	5.93050e+00	4.77568e+00	3.31662e+00	2.13672e+00	2.73428e+00	2.77348e+01	6.00847e+00	4.79381e+00	3.44071e+00	2.19705e+00	2.80218e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
