% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1318
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): AX75-C02
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 13:58:44
% Protocol Start Time (Log Generator time): 2022-01-12 13:58:37.786
% Protocol End Time (Log Generator time): 2022-01-12 14:04:05.036
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 14:00:58.195	5.45489e+00	5.83823e+00	2.83174e+00	2.45508e+00	2.44144e+00	2.24912e+00	5.52019e+00	5.79459e+00	2.78922e+00	2.42934e+00	2.47143e+00	2.15903e+00	5.35203e+00	5.69892e+00	2.79212e+00	2.38672e+00	2.38477e+00	2.23639e+00	5.33200e+00	5.89991e+00	2.88878e+00	2.53965e+00	2.45959e+00	2.28122e+00	5.43491e+00	5.82687e+00	2.84971e+00	2.48919e+00	2.43149e+00	2.19686e+00
2	2022-01-12 14:01:08.275	5.43275e+00	5.86003e+00	2.82834e+00	2.46230e+00	2.43887e+00	2.24886e+00	5.51250e+00	5.80415e+00	2.79144e+00	2.42586e+00	2.47807e+00	2.15826e+00	5.34247e+00	5.69880e+00	2.79422e+00	2.39927e+00	2.38222e+00	2.23576e+00	5.31268e+00	5.89957e+00	2.88746e+00	2.54528e+00	2.46211e+00	2.28227e+00	5.43197e+00	5.81578e+00	2.84942e+00	2.48962e+00	2.43109e+00	2.19145e+00
3	2022-01-12 14:01:18.396	5.42435e+00	5.84919e+00	2.82769e+00	2.45199e+00	2.44333e+00	2.24755e+00	5.50454e+00	5.80289e+00	2.78821e+00	2.42556e+00	2.46769e+00	2.15745e+00	5.32721e+00	5.69859e+00	2.79383e+00	2.39483e+00	2.38124e+00	2.23557e+00	5.32115e+00	5.89927e+00	2.88706e+00	2.54468e+00	2.46122e+00	2.28244e+00	5.42641e+00	5.83405e+00	2.84633e+00	2.48987e+00	2.43087e+00	2.19361e+00
4	2022-01-12 14:01:28.576	5.41448e+00	5.85181e+00	2.82277e+00	2.46324e+00	2.43914e+00	2.24700e+00	5.49889e+00	5.80364e+00	2.78769e+00	2.41661e+00	2.47781e+00	2.15645e+00	5.32370e+00	5.69927e+00	2.79315e+00	2.39638e+00	2.37387e+00	2.23410e+00	5.29848e+00	5.89944e+00	2.88613e+00	2.54601e+00	2.46137e+00	2.28380e+00	5.43601e+00	5.81611e+00	2.84736e+00	2.49034e+00	2.43013e+00	2.19237e+00
5	2022-01-12 14:01:38.795	5.42224e+00	5.84617e+00	2.82854e+00	2.45143e+00	2.43877e+00	2.24566e+00	5.49284e+00	5.79126e+00	2.78549e+00	2.43580e+00	2.46592e+00	2.15615e+00	5.31837e+00	5.69767e+00	2.78972e+00	2.39481e+00	2.38777e+00	2.23329e+00	5.31023e+00	5.89885e+00	2.88634e+00	2.54199e+00	2.46083e+00	2.27768e+00	5.39456e+00	5.83590e+00	2.84622e+00	2.48995e+00	2.43030e+00	2.19244e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
