% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1318
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): CY5-C01
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 13:04:03
% Protocol Start Time (Log Generator time): 2022-01-12 13:03:56.600
% Protocol End Time (Log Generator time): 2022-01-12 13:09:14.839
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 13:06:16.932	5.52325e+00	5.83689e+00	2.83160e+00	2.97402e+00	2.43730e+00	1.37443e+00	5.74503e+00	5.76447e+00	2.72318e+00	2.90769e+00	2.46214e+00	1.42431e+00	5.53791e+00	5.68522e+00	2.74797e+00	2.93936e+00	2.38206e+00	1.37784e+00	5.45591e+00	5.90620e+00	2.87354e+00	3.07659e+00	2.45683e+00	1.40547e+00	5.49856e+00	5.87420e+00	2.86321e+00	2.99715e+00	2.43609e+00	1.36584e+00
2	2022-01-12 13:06:27.011	5.54388e+00	5.85968e+00	2.83547e+00	2.97555e+00	2.43141e+00	1.37319e+00	5.73431e+00	5.75611e+00	2.72426e+00	2.92696e+00	2.46021e+00	1.42202e+00	5.53855e+00	5.68256e+00	2.74441e+00	2.96068e+00	2.39327e+00	1.37624e+00	5.44881e+00	5.90420e+00	2.87124e+00	3.07975e+00	2.46009e+00	1.40461e+00	5.45989e+00	5.87705e+00	2.86350e+00	2.99982e+00	2.43569e+00	1.36279e+00
3	2022-01-12 13:06:37.131	5.50718e+00	5.83561e+00	2.82963e+00	2.98344e+00	2.44171e+00	1.37307e+00	5.72804e+00	5.76336e+00	2.71414e+00	2.91997e+00	2.46609e+00	1.42370e+00	5.51720e+00	5.67998e+00	2.74117e+00	2.94754e+00	2.38545e+00	1.37717e+00	5.43285e+00	5.90515e+00	2.86920e+00	3.08104e+00	2.45626e+00	1.40396e+00	5.46609e+00	5.86569e+00	2.85893e+00	3.00141e+00	2.43535e+00	1.36382e+00
4	2022-01-12 13:06:47.291	5.50194e+00	5.85358e+00	2.82753e+00	2.98183e+00	2.43113e+00	1.37233e+00	5.72009e+00	5.76037e+00	2.71775e+00	2.92152e+00	2.46351e+00	1.42073e+00	5.52735e+00	5.67909e+00	2.73851e+00	2.96284e+00	2.38610e+00	1.37557e+00	5.43056e+00	5.90252e+00	2.86791e+00	3.08212e+00	2.45905e+00	1.40361e+00	5.45539e+00	5.86994e+00	2.86157e+00	3.00264e+00	2.43485e+00	1.36148e+00
5	2022-01-12 13:06:57.511	5.49673e+00	5.85738e+00	2.82722e+00	2.98469e+00	2.43625e+00	1.37155e+00	5.71536e+00	5.76169e+00	2.71789e+00	2.92556e+00	2.46467e+00	1.42139e+00	5.51533e+00	5.67770e+00	2.73783e+00	2.96785e+00	2.38751e+00	1.37577e+00	5.42016e+00	5.90111e+00	2.86675e+00	3.08375e+00	2.45945e+00	1.40268e+00	5.44434e+00	5.86616e+00	2.85847e+00	3.00383e+00	2.43456e+00	1.36059e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
