% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER909
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): TXR-C02
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 08:49:15
% Protocol Start Time (Log Generator time): 2022-01-12 08:49:08.912
% Protocol End Time (Log Generator time): 2022-01-12 08:54:24.778
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 08:51:32.227	7.21940e+00	5.46478e+00	1.83181e+01	5.00107e+00	3.00863e+00	1.56082e+00	8.03418e+00	5.50724e+00	1.71820e+01	4.89579e+00	3.06399e+00	1.56753e+00	7.20882e+00	5.84397e+00	1.84582e+01	5.15872e+00	3.20032e+00	1.61079e+00	7.36283e+00	5.95064e+00	1.90670e+01	5.13244e+00	3.25731e+00	1.61860e+00	7.05614e+00	5.38423e+00	1.71422e+01	4.86427e+00	2.81249e+00	1.42315e+00
2	2022-01-12 08:51:42.126	7.19770e+00	5.46303e+00	1.83243e+01	4.99809e+00	3.01126e+00	1.55945e+00	8.00974e+00	5.50579e+00	1.71780e+01	4.89139e+00	3.06297e+00	1.56867e+00	7.19491e+00	5.84211e+00	1.84596e+01	5.15453e+00	3.20073e+00	1.60977e+00	7.34131e+00	5.95138e+00	1.90601e+01	5.13202e+00	3.25738e+00	1.61804e+00	7.03634e+00	5.38332e+00	1.71328e+01	4.86272e+00	2.81241e+00	1.42272e+00
3	2022-01-12 08:51:52.066	7.18004e+00	5.46221e+00	1.83249e+01	4.99830e+00	3.00837e+00	1.55822e+00	7.98910e+00	5.50581e+00	1.71797e+01	4.89014e+00	3.06224e+00	1.56555e+00	7.16128e+00	5.84081e+00	1.84597e+01	5.15306e+00	3.20084e+00	1.60945e+00	7.32429e+00	5.94805e+00	1.90563e+01	5.13076e+00	3.25673e+00	1.61772e+00	7.02039e+00	5.38314e+00	1.71488e+01	4.86297e+00	2.80950e+00	1.42200e+00
4	2022-01-12 08:52:02.045	7.15634e+00	5.46228e+00	1.83196e+01	4.99785e+00	3.01646e+00	1.55722e+00	7.97102e+00	5.50237e+00	1.71828e+01	4.89051e+00	3.06294e+00	1.56218e+00	7.12166e+00	5.84032e+00	1.84616e+01	5.15305e+00	3.20119e+00	1.60913e+00	7.30750e+00	5.94397e+00	1.90550e+01	5.13238e+00	3.25640e+00	1.61711e+00	7.00218e+00	5.38176e+00	1.71773e+01	4.86236e+00	2.81122e+00	1.42141e+00
5	2022-01-12 08:52:12.066	7.14608e+00	5.46096e+00	1.83202e+01	4.99739e+00	3.01765e+00	1.55734e+00	7.95784e+00	5.50341e+00	1.71878e+01	4.88953e+00	3.06275e+00	1.56118e+00	7.10315e+00	5.83996e+00	1.84718e+01	5.15287e+00	3.20148e+00	1.60815e+00	7.29309e+00	5.94357e+00	1.90574e+01	5.13187e+00	3.25685e+00	1.61699e+00	6.98893e+00	5.38103e+00	1.71844e+01	4.86131e+00	2.81040e+00	1.42098e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
