% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1322
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): CY5-C02
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 13:04:22
% Protocol Start Time (Log Generator time): 2022-01-12 13:04:18.050
% Protocol End Time (Log Generator time): 2022-01-12 13:09:50.125
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 13:06:41.167	6.43156e+00	7.74745e+00	3.49550e+00	7.85738e+00	1.27141e+00	2.53602e+00	6.52593e+00	7.53353e+00	3.40929e+00	7.22763e+00	1.21653e+00	2.49497e+00	6.39767e+00	7.74973e+00	3.58956e+00	7.70587e+00	1.27190e+00	2.53257e+00	6.32966e+00	7.15907e+00	3.41049e+00	7.31978e+00	1.16926e+00	2.39627e+00	6.24666e+00	7.49332e+00	3.63088e+00	7.56846e+00	1.22472e+00	2.41151e+00
2	2022-01-12 13:06:51.248	6.43279e+00	7.74662e+00	3.49274e+00	7.87601e+00	1.27154e+00	2.53437e+00	6.51296e+00	7.48752e+00	3.40610e+00	7.24905e+00	1.21637e+00	2.49416e+00	6.38625e+00	7.74666e+00	3.57901e+00	7.73803e+00	1.27196e+00	2.53123e+00	6.32065e+00	7.15243e+00	3.40595e+00	7.33274e+00	1.16861e+00	2.39494e+00	6.23490e+00	7.49210e+00	3.62911e+00	7.58128e+00	1.23281e+00	2.41014e+00
3	2022-01-12 13:07:01.367	6.42337e+00	7.74906e+00	3.49222e+00	7.88846e+00	1.26747e+00	2.53341e+00	6.50316e+00	7.49060e+00	3.40580e+00	7.26114e+00	1.21655e+00	2.49303e+00	6.37862e+00	7.74550e+00	3.57563e+00	7.75610e+00	1.27244e+00	2.53028e+00	6.31152e+00	7.15196e+00	3.40318e+00	7.34012e+00	1.16935e+00	2.39351e+00	6.22561e+00	7.49119e+00	3.62836e+00	7.59034e+00	1.23231e+00	2.40930e+00
4	2022-01-12 13:07:11.528	6.41003e+00	7.74752e+00	3.49172e+00	7.88967e+00	1.26925e+00	2.53247e+00	6.49398e+00	7.52654e+00	3.40525e+00	7.26641e+00	1.21655e+00	2.49210e+00	6.37047e+00	7.74267e+00	3.57884e+00	7.76570e+00	1.27224e+00	2.52981e+00	6.30503e+00	7.15003e+00	3.40130e+00	7.35379e+00	1.16960e+00	2.39261e+00	6.21625e+00	7.48997e+00	3.62706e+00	7.59374e+00	1.22468e+00	2.40856e+00
5	2022-01-12 13:07:21.726	6.40677e+00	7.74706e+00	3.49141e+00	7.89873e+00	1.27116e+00	2.53118e+00	6.48609e+00	7.54846e+00	3.40486e+00	7.27040e+00	1.21678e+00	2.49036e+00	6.36205e+00	7.74246e+00	3.58174e+00	7.77433e+00	1.27289e+00	2.52902e+00	6.29824e+00	7.14761e+00	3.39938e+00	7.35893e+00	1.16959e+00	2.39213e+00	6.21060e+00	7.48943e+00	3.62528e+00	7.59666e+00	1.22087e+00	2.40784e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
