% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER933
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): HEX-C02
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 13:29:00
% Protocol Start Time (Log Generator time): 2022-01-12 13:28:54.363
% Protocol End Time (Log Generator time): 2022-01-12 13:34:03.361
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 13:31:15.207	6.46123e+00	2.68259e+01	3.93091e+00	4.56822e+00	1.22451e+00	2.64286e+00	6.74764e+00	2.67193e+01	4.11723e+00	4.81654e+00	1.29785e+00	2.77415e+00	6.03352e+00	2.50537e+01	3.76501e+00	4.36941e+00	1.19624e+00	2.60892e+00	6.33543e+00	2.48651e+01	3.62542e+00	4.13747e+00	1.13792e+00	2.45643e+00	6.10323e+00	2.44678e+01	3.90511e+00	4.54779e+00	1.20312e+00	2.59857e+00
2	2022-01-12 13:31:25.067	6.44870e+00	2.68530e+01	3.92833e+00	4.56550e+00	1.22253e+00	2.64172e+00	6.73573e+00	2.67294e+01	4.11066e+00	4.81226e+00	1.29740e+00	2.76721e+00	6.03265e+00	2.50708e+01	3.76156e+00	4.36341e+00	1.19652e+00	2.60727e+00	6.32688e+00	2.49314e+01	3.62179e+00	4.13448e+00	1.13793e+00	2.45614e+00	6.09779e+00	2.44829e+01	3.90653e+00	4.54546e+00	1.20250e+00	2.59793e+00
3	2022-01-12 13:31:34.967	6.44285e+00	2.68603e+01	3.92680e+00	4.56470e+00	1.22369e+00	2.64121e+00	6.72689e+00	2.67378e+01	4.10850e+00	4.81112e+00	1.29747e+00	2.77352e+00	6.01764e+00	2.50927e+01	3.75885e+00	4.36063e+00	1.19648e+00	2.60733e+00	6.31809e+00	2.48804e+01	3.61980e+00	4.13351e+00	1.13803e+00	2.45581e+00	6.08933e+00	2.44833e+01	3.90017e+00	4.54510e+00	1.20246e+00	2.59735e+00
4	2022-01-12 13:31:44.887	6.43484e+00	2.68642e+01	3.92498e+00	4.56406e+00	1.22222e+00	2.64062e+00	6.71837e+00	2.67472e+01	4.10680e+00	4.81021e+00	1.29745e+00	2.76679e+00	6.01934e+00	2.51066e+01	3.75702e+00	4.35889e+00	1.19662e+00	2.60789e+00	6.31187e+00	2.49444e+01	3.61824e+00	4.13241e+00	1.13760e+00	2.45521e+00	6.08200e+00	2.44800e+01	3.90243e+00	4.54391e+00	1.20265e+00	2.59679e+00
5	2022-01-12 13:31:54.868	6.42884e+00	2.68714e+01	3.92359e+00	4.56371e+00	1.22183e+00	2.64012e+00	6.71021e+00	2.67529e+01	4.10537e+00	4.80884e+00	1.29782e+00	2.76517e+00	6.01430e+00	2.51149e+01	3.75550e+00	4.35775e+00	1.19681e+00	2.60726e+00	6.30559e+00	2.49458e+01	3.61651e+00	4.13198e+00	1.13773e+00	2.45533e+00	6.07745e+00	2.44864e+01	3.89952e+00	4.54346e+00	1.20223e+00	2.59652e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
