% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1316
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): AX70-C02
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 08:38:55
% Protocol Start Time (Log Generator time): 2022-01-12 08:38:49.117
% Protocol End Time (Log Generator time): 2022-01-12 08:43:57.926
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 08:41:10.117	5.73256e+00	2.57593e+00	2.98669e+00	2.62824e+00	1.21663e+01	1.48841e+00	6.34582e+00	2.62201e+00	2.98052e+00	2.76995e+00	1.25149e+01	1.55999e+00	6.19537e+00	2.67580e+00	2.98187e+00	2.62773e+00	1.23632e+01	1.47755e+00	6.00579e+00	2.69255e+00	3.01025e+00	2.78281e+00	1.23311e+01	1.53313e+00	5.75675e+00	2.71950e+00	3.12347e+00	2.88908e+00	1.22865e+01	1.54511e+00
2	2022-01-12 08:41:20.096	5.71269e+00	2.57535e+00	2.98541e+00	2.62931e+00	1.21596e+01	1.48707e+00	6.33001e+00	2.62222e+00	2.97788e+00	2.77040e+00	1.25604e+01	1.55802e+00	6.18419e+00	2.67386e+00	2.97858e+00	2.62779e+00	1.24069e+01	1.47616e+00	5.99648e+00	2.68990e+00	3.00674e+00	2.78363e+00	1.23803e+01	1.53184e+00	5.74721e+00	2.71833e+00	3.12237e+00	2.88984e+00	1.22973e+01	1.54412e+00
3	2022-01-12 08:41:30.097	5.70604e+00	2.57517e+00	2.98604e+00	2.62905e+00	1.21589e+01	1.48582e+00	6.31720e+00	2.61922e+00	2.97764e+00	2.77151e+00	1.25761e+01	1.55690e+00	6.17494e+00	2.67222e+00	2.97490e+00	2.62796e+00	1.24252e+01	1.47546e+00	5.98650e+00	2.68875e+00	3.00465e+00	2.78110e+00	1.23969e+01	1.53108e+00	5.73521e+00	2.71807e+00	3.12149e+00	2.89026e+00	1.22967e+01	1.54214e+00
4	2022-01-12 08:41:40.137	5.69633e+00	2.57467e+00	2.98542e+00	2.63085e+00	1.21615e+01	1.48449e+00	6.30630e+00	2.61856e+00	2.97440e+00	2.77024e+00	1.25852e+01	1.55601e+00	6.16513e+00	2.67010e+00	2.97315e+00	2.62712e+00	1.24294e+01	1.47474e+00	5.97635e+00	2.68744e+00	3.00318e+00	2.78119e+00	1.23995e+01	1.52954e+00	5.72521e+00	2.71727e+00	3.12111e+00	2.89024e+00	1.22930e+01	1.54132e+00
5	2022-01-12 08:41:50.217	5.66708e+00	2.57322e+00	2.98521e+00	2.63320e+00	1.21591e+01	1.48331e+00	6.29686e+00	2.62320e+00	2.97096e+00	2.77202e+00	1.25903e+01	1.55543e+00	6.15730e+00	2.66985e+00	2.97565e+00	2.62624e+00	1.24307e+01	1.47369e+00	5.96655e+00	2.68652e+00	3.00249e+00	2.78587e+00	1.23937e+01	1.52833e+00	5.71127e+00	2.71572e+00	3.12029e+00	2.89151e+00	1.22951e+01	1.54043e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
