% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1323
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): AX70-C01
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 11:43:18
% Protocol Start Time (Log Generator time): 2022-01-12 11:43:10.880
% Protocol End Time (Log Generator time): 2022-01-12 11:49:53.521
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 11:45:31.913	5.74441e+00	5.95002e+00	3.11407e+00	2.59880e+00	4.55815e+00	1.46870e+00	5.91877e+00	6.26585e+00	3.09765e+00	2.70880e+00	4.70047e+00	1.53658e+00	5.98108e+00	6.35749e+00	3.09895e+00	2.76635e+00	4.88582e+00	1.56899e+00	5.85020e+00	6.07789e+00	3.12137e+00	2.62457e+00	4.59010e+00	1.50767e+00	6.02608e+00	6.22044e+00	3.21522e+00	2.74434e+00	4.68546e+00	1.53572e+00
2	2022-01-12 11:45:42.013	5.71776e+00	5.95394e+00	3.11122e+00	2.60000e+00	4.56825e+00	1.46763e+00	5.90733e+00	6.26987e+00	3.09592e+00	2.71093e+00	4.71125e+00	1.53720e+00	5.95121e+00	6.35491e+00	3.09664e+00	2.76679e+00	4.89666e+00	1.56717e+00	5.83651e+00	6.07354e+00	3.11670e+00	2.62433e+00	4.60258e+00	1.50567e+00	6.01612e+00	6.21681e+00	3.21252e+00	2.74329e+00	4.68940e+00	1.53497e+00
3	2022-01-12 11:45:52.135	5.70719e+00	5.94776e+00	3.10934e+00	2.59716e+00	4.56920e+00	1.46644e+00	5.89975e+00	6.27024e+00	3.09328e+00	2.71207e+00	4.71233e+00	1.53675e+00	5.94189e+00	6.35318e+00	3.09372e+00	2.76602e+00	4.90352e+00	1.56689e+00	5.83206e+00	6.07187e+00	3.11572e+00	2.62357e+00	4.60662e+00	1.50505e+00	6.00918e+00	6.21114e+00	3.21097e+00	2.74373e+00	4.69038e+00	1.53366e+00
4	2022-01-12 11:46:02.274	5.70427e+00	5.94570e+00	3.10823e+00	2.60229e+00	4.56601e+00	1.46525e+00	5.88981e+00	6.24581e+00	3.09363e+00	2.71312e+00	4.71830e+00	1.53525e+00	5.94270e+00	6.35382e+00	3.09210e+00	2.76725e+00	4.90572e+00	1.56478e+00	5.81542e+00	6.06852e+00	3.11246e+00	2.62417e+00	4.60807e+00	1.50426e+00	6.00154e+00	6.21321e+00	3.20788e+00	2.74408e+00	4.68944e+00	1.53310e+00
5	2022-01-12 11:46:12.494	5.71239e+00	5.94222e+00	3.10708e+00	2.59856e+00	4.56642e+00	1.46531e+00	5.88278e+00	6.26232e+00	3.09333e+00	2.71438e+00	4.71433e+00	1.53417e+00	5.93142e+00	6.35406e+00	3.09120e+00	2.76796e+00	4.90767e+00	1.56507e+00	5.81428e+00	6.06793e+00	3.11132e+00	2.62438e+00	4.60884e+00	1.50352e+00	5.99382e+00	6.20988e+00	3.20576e+00	2.74435e+00	4.68847e+00	1.53177e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
