% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1089
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): HEX-C01
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 08:15:12
% Protocol Start Time (Log Generator time): 2022-01-12 08:15:06.002
% Protocol End Time (Log Generator time): 2022-01-12 08:20:23.431
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 08:17:27.184	7.86357e+00	1.17841e+01	5.06680e+00	3.64518e+00	1.97046e+00	3.30119e+00	7.77230e+00	1.18579e+01	5.20541e+00	3.86121e+00	2.02420e+00	3.32168e+00	8.10611e+00	1.18982e+01	5.16640e+00	3.77691e+00	2.03031e+00	3.38887e+00	7.81103e+00	1.20842e+01	5.19401e+00	3.88631e+00	2.05068e+00	3.48749e+00	8.40419e+00	1.16753e+01	5.16807e+00	3.79271e+00	2.07660e+00	3.35422e+00
2	2022-01-12 08:17:37.264	7.83699e+00	1.17824e+01	5.06438e+00	3.64659e+00	1.95836e+00	3.29917e+00	7.75616e+00	1.18557e+01	5.19845e+00	3.86130e+00	2.02443e+00	3.32513e+00	8.08991e+00	1.19007e+01	5.16556e+00	3.77718e+00	2.02894e+00	3.38708e+00	7.79132e+00	1.20982e+01	5.19288e+00	3.88706e+00	2.05010e+00	3.48598e+00	8.38550e+00	1.16771e+01	5.16684e+00	3.79203e+00	2.07490e+00	3.35229e+00
3	2022-01-12 08:17:47.384	7.81132e+00	1.17833e+01	5.06356e+00	3.64516e+00	1.95840e+00	3.29731e+00	7.73927e+00	1.18534e+01	5.19800e+00	3.86164e+00	2.01617e+00	3.31940e+00	8.06057e+00	1.19030e+01	5.16496e+00	3.77667e+00	2.02917e+00	3.38646e+00	7.77708e+00	1.20815e+01	5.19241e+00	3.88784e+00	2.04989e+00	3.48413e+00	8.36942e+00	1.16776e+01	5.16624e+00	3.79291e+00	2.07500e+00	3.35045e+00
4	2022-01-12 08:17:57.544	7.81424e+00	1.17823e+01	5.06243e+00	3.64187e+00	1.95686e+00	3.29580e+00	7.72516e+00	1.18616e+01	5.19750e+00	3.86178e+00	2.02275e+00	3.32318e+00	8.06354e+00	1.19035e+01	5.16342e+00	3.77665e+00	2.02856e+00	3.38509e+00	7.76026e+00	1.20967e+01	5.19213e+00	3.88807e+00	2.04938e+00	3.48339e+00	8.35415e+00	1.16771e+01	5.16608e+00	3.79281e+00	2.07449e+00	3.34863e+00
5	2022-01-12 08:18:07.745	7.79906e+00	1.17827e+01	5.06273e+00	3.64434e+00	1.95384e+00	3.29350e+00	7.71280e+00	1.18614e+01	5.19724e+00	3.86271e+00	2.02115e+00	3.32378e+00	8.05006e+00	1.19051e+01	5.16402e+00	3.77676e+00	2.02842e+00	3.38281e+00	7.74435e+00	1.20969e+01	5.19207e+00	3.88853e+00	2.04899e+00	3.48153e+00	8.33925e+00	1.16781e+01	5.16555e+00	3.79281e+00	2.07504e+00	3.34678e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
