% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1313
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): HEX-C02
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 08:15:36
% Protocol Start Time (Log Generator time): 2022-01-12 08:15:29.326
% Protocol End Time (Log Generator time): 2022-01-12 08:21:58.981
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 08:17:51.243	6.06652e+00	2.76065e+01	3.13319e+00	4.56643e+00	1.78563e+00	2.00682e+00	6.07291e+00	2.59044e+01	3.07559e+00	4.59295e+00	1.77040e+00	2.01208e+00	6.14696e+00	2.72103e+01	3.17264e+00	4.73112e+00	1.84333e+00	2.07298e+00	6.68475e+00	2.77660e+01	3.16724e+00	4.82192e+00	1.89246e+00	2.06321e+00	6.04820e+00	2.65623e+01	3.18940e+00	4.63464e+00	1.80899e+00	2.04065e+00
2	2022-01-12 08:18:01.062	6.05647e+00	2.76240e+01	3.12888e+00	4.57757e+00	1.78628e+00	2.00580e+00	6.05751e+00	2.58935e+01	3.07272e+00	4.58785e+00	1.77354e+00	2.01166e+00	6.13360e+00	2.72419e+01	3.16934e+00	4.73233e+00	1.84250e+00	2.07175e+00	6.66694e+00	2.77893e+01	3.16410e+00	4.81869e+00	1.89230e+00	2.06276e+00	6.03530e+00	2.65516e+01	3.18759e+00	4.63522e+00	1.80824e+00	2.03939e+00
3	2022-01-12 08:18:10.942	6.04468e+00	2.76423e+01	3.12606e+00	4.56662e+00	1.78474e+00	2.00515e+00	6.04332e+00	2.59205e+01	3.07195e+00	4.58737e+00	1.77173e+00	2.01087e+00	6.12333e+00	2.72577e+01	3.16501e+00	4.73441e+00	1.84211e+00	2.07139e+00	6.65937e+00	2.78109e+01	3.16217e+00	4.81720e+00	1.89197e+00	2.06229e+00	6.02055e+00	2.65701e+01	3.18726e+00	4.63407e+00	1.80820e+00	2.03877e+00
4	2022-01-12 08:18:20.863	6.02950e+00	2.76209e+01	3.12609e+00	4.58069e+00	1.79412e+00	2.00434e+00	6.03135e+00	2.59140e+01	3.06922e+00	4.59281e+00	1.77448e+00	2.01158e+00	6.09868e+00	2.72728e+01	3.16656e+00	4.73416e+00	1.84317e+00	2.07005e+00	6.64085e+00	2.77732e+01	3.16110e+00	4.81636e+00	1.89105e+00	2.06045e+00	6.00556e+00	2.65523e+01	3.18487e+00	4.63420e+00	1.80802e+00	2.03810e+00
5	2022-01-12 08:18:30.822	6.05634e+00	2.76807e+01	3.12374e+00	4.59264e+00	1.78487e+00	2.00364e+00	6.02043e+00	2.58953e+01	3.06645e+00	4.58966e+00	1.77752e+00	2.00990e+00	6.10313e+00	2.72837e+01	3.16603e+00	4.72965e+00	1.84268e+00	2.06928e+00	6.62577e+00	2.78301e+01	3.15907e+00	4.81468e+00	1.89122e+00	2.06000e+00	5.99483e+00	2.65355e+01	3.18576e+00	4.63400e+00	1.80770e+00	2.03733e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
