% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1323
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): AX75-C02
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 08:26:26
% Protocol Start Time (Log Generator time): 2022-01-12 08:26:19.188
% Protocol End Time (Log Generator time): 2022-01-12 08:32:55.641
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 08:28:40.450	5.71393e+00	6.00571e+00	3.18422e+00	2.61327e+00	2.00344e+00	2.30020e+00	5.88151e+00	6.34014e+00	3.21170e+00	2.74032e+00	2.10388e+00	2.33990e+00	5.92442e+00	6.41311e+00	3.20404e+00	2.77924e+00	2.13645e+00	2.45311e+00	5.80675e+00	6.14159e+00	3.18512e+00	2.63241e+00	2.01901e+00	2.36158e+00	6.12357e+00	6.23668e+00	3.22204e+00	2.72677e+00	2.08498e+00	2.38645e+00
2	2022-01-12 08:28:50.531	5.70508e+00	6.00765e+00	3.18357e+00	2.60805e+00	2.00346e+00	2.29994e+00	5.86906e+00	6.33666e+00	3.21006e+00	2.74071e+00	2.09436e+00	2.33843e+00	5.90171e+00	6.41075e+00	3.20323e+00	2.78046e+00	2.13488e+00	2.45594e+00	5.79813e+00	6.13876e+00	3.18388e+00	2.63316e+00	2.01874e+00	2.36059e+00	6.10750e+00	6.23042e+00	3.22058e+00	2.72635e+00	2.08484e+00	2.38735e+00
3	2022-01-12 08:29:00.650	5.68748e+00	6.01001e+00	3.18226e+00	2.61255e+00	2.00157e+00	2.29880e+00	5.85795e+00	6.30085e+00	3.20846e+00	2.74214e+00	2.10134e+00	2.33874e+00	5.88992e+00	6.40839e+00	3.20160e+00	2.78189e+00	2.13419e+00	2.45205e+00	5.77658e+00	6.13884e+00	3.18287e+00	2.63398e+00	2.01939e+00	2.35961e+00	6.09271e+00	6.22978e+00	3.22009e+00	2.72683e+00	2.08362e+00	2.38638e+00
4	2022-01-12 08:29:10.810	5.65375e+00	6.00470e+00	3.18184e+00	2.61001e+00	2.00554e+00	2.29751e+00	5.84735e+00	6.34604e+00	3.20810e+00	2.74203e+00	2.09545e+00	2.33562e+00	5.86802e+00	6.40799e+00	3.20192e+00	2.78336e+00	2.13464e+00	2.45366e+00	5.76956e+00	6.13504e+00	3.18249e+00	2.63560e+00	2.01822e+00	2.35873e+00	6.07932e+00	6.22659e+00	3.21783e+00	2.72801e+00	2.08439e+00	2.38538e+00
5	2022-01-12 08:29:21.011	5.64275e+00	6.00271e+00	3.18143e+00	2.61587e+00	2.00564e+00	2.29632e+00	5.83755e+00	6.34392e+00	3.20555e+00	2.74332e+00	2.10312e+00	2.33438e+00	5.85450e+00	6.40722e+00	3.20197e+00	2.78214e+00	2.13455e+00	2.44831e+00	5.74949e+00	6.13385e+00	3.18219e+00	2.63614e+00	2.01891e+00	2.35716e+00	6.06752e+00	6.22863e+00	3.21818e+00	2.72743e+00	2.08431e+00	2.38421e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
