% Log Type: RawData2
% Log Generator: IdyllaStudio
% Log Generator Id: WBCMEH4V9M12
% Version Generator: 1.9.1016
% Version ISW: 20180206_1000
% Version CFW: 14013a22
% Version DFW: HW-012.0 FW-3.0
% Version HW: 1.0
% Slot ID: SER1088
% Slot Type: PREPEP_4
% Slot Status: ServiceMode
% Slot Is Calibrated: True
% Protocol Recipe: INS_Characterization
% Protocol Recipe Version: 1.0.0
% Protocol Recipe Path: R:\Product Engineering Public\Projects\qPCR DET\Measurements\QC Ops Lab Protocols\INS Characterization\INS_Characterization_Frozen.isp
% Cartridge ID (operator): AX70-C01
% Cartridge ID (barcode reader): *UNKNOWN*
% Cartridge Batch Info: 
% Sample Type ID: 900
% Operator: RREN
% (info) ExperimentID: qPCR INS Characterization
% Protocol Start Time (ISW time): 2022-01-12 08:05:53
% Protocol Start Time (Log Generator time): 2022-01-12 08:05:48.807
% Protocol End Time (Log Generator time): 2022-01-12 08:10:40.247
% Protocol Result: OK
% -----------------------
% Fields: Cycle	Detection time	ChA.Det1.Slope	ChA.Det2.Slope	ChA.Det3.Slope	ChA.Det4.Slope	ChA.Det5.Slope	ChA.Det6.Slope	ChB.Det1.Slope	ChB.Det2.Slope	ChB.Det3.Slope	ChB.Det4.Slope	ChB.Det5.Slope	ChB.Det6.Slope	ChC.Det1.Slope	ChC.Det2.Slope	ChC.Det3.Slope	ChC.Det4.Slope	ChC.Det5.Slope	ChC.Det6.Slope	ChD.Det1.Slope	ChD.Det2.Slope	ChD.Det3.Slope	ChD.Det4.Slope	ChD.Det5.Slope	ChD.Det6.Slope	ChE.Det1.Slope	ChE.Det2.Slope	ChE.Det3.Slope	ChE.Det4.Slope	ChE.Det5.Slope	ChE.Det6.Slope
% -----------------------
1	2022-01-12 08:08:08.159	7.30204e+00	4.85318e+00	4.71209e+00	3.39932e+00	5.72335e+00	2.82181e+00	7.61085e+00	5.20796e+00	4.79697e+00	3.67096e+00	5.50949e+00	2.85667e+00	7.39360e+00	4.91124e+00	4.76156e+00	3.48999e+00	5.56502e+00	2.85526e+00	7.51345e+00	4.88847e+00	4.77975e+00	3.37837e+00	5.51800e+00	2.77592e+00	7.04844e+00	4.98114e+00	4.81635e+00	3.42828e+00	5.52880e+00	2.78082e+00
2	2022-01-12 08:08:18.239	7.25936e+00	4.84628e+00	4.70863e+00	3.40069e+00	5.72453e+00	2.82030e+00	7.58694e+00	5.20818e+00	4.79093e+00	3.67697e+00	5.52146e+00	2.85610e+00	7.38405e+00	4.91000e+00	4.75988e+00	3.49191e+00	5.57644e+00	2.85400e+00	7.49586e+00	4.88745e+00	4.77653e+00	3.37822e+00	5.53000e+00	2.77507e+00	7.03043e+00	4.97976e+00	4.81507e+00	3.42828e+00	5.53125e+00	2.77957e+00
3	2022-01-12 08:08:28.380	7.24051e+00	4.85018e+00	4.70714e+00	3.40277e+00	5.72078e+00	2.81936e+00	7.57356e+00	5.20758e+00	4.79028e+00	3.67910e+00	5.52200e+00	2.85473e+00	7.37389e+00	4.90907e+00	4.75800e+00	3.49389e+00	5.58092e+00	2.85288e+00	7.48069e+00	4.88646e+00	4.77409e+00	3.37863e+00	5.53456e+00	2.77370e+00	7.01400e+00	4.97847e+00	4.81451e+00	3.42844e+00	5.53100e+00	2.77779e+00
4	2022-01-12 08:08:38.539	7.22634e+00	4.84386e+00	4.70592e+00	3.40378e+00	5.72163e+00	2.81772e+00	7.55912e+00	5.20833e+00	4.79005e+00	3.67865e+00	5.52023e+00	2.85319e+00	7.35825e+00	4.90893e+00	4.75672e+00	3.49515e+00	5.58175e+00	2.85232e+00	7.46495e+00	4.88562e+00	4.77203e+00	3.37830e+00	5.53402e+00	2.77271e+00	7.00052e+00	4.97799e+00	4.81285e+00	3.42931e+00	5.52940e+00	2.77648e+00
5	2022-01-12 08:08:48.759	7.21283e+00	4.84707e+00	4.70433e+00	3.40516e+00	5.72282e+00	2.81624e+00	7.54786e+00	5.20773e+00	4.78825e+00	3.67792e+00	5.51794e+00	2.85084e+00	7.34215e+00	4.90805e+00	4.75625e+00	3.49715e+00	5.58174e+00	2.85129e+00	7.45224e+00	4.88481e+00	4.77102e+00	3.37955e+00	5.53373e+00	2.77136e+00	6.98634e+00	4.97740e+00	4.81162e+00	3.42941e+00	5.52670e+00	2.77467e+00
6	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	1970-01-01 01:00:00.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
